iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index
PHL,Philippines,12/31/2019,,,,109581085,7599.188,0.699
PHL,Philippines,1/1/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/2/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/3/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/4/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/5/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/6/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/7/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/8/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/9/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/10/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/11/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/12/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/13/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/14/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/15/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/16/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/17/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/18/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/19/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/20/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/21/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/22/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/23/2020,,,0,109581085,7599.188,0.699
PHL,Philippines,1/24/2020,,,11.11,109581085,7599.188,0.699
PHL,Philippines,1/25/2020,,,11.11,109581085,7599.188,0.699
PHL,Philippines,1/26/2020,,,11.11,109581085,7599.188,0.699
PHL,Philippines,1/27/2020,,,11.11,109581085,7599.188,0.699
PHL,Philippines,1/28/2020,,,11.11,109581085,7599.188,0.699
PHL,Philippines,1/29/2020,,,11.11,109581085,7599.188,0.699
PHL,Philippines,1/30/2020,1,,11.11,109581085,7599.188,0.699
PHL,Philippines,1/31/2020,1,,19.44,109581085,7599.188,0.699
PHL,Philippines,2/1/2020,1,,19.44,109581085,7599.188,0.699
PHL,Philippines,2/2/2020,2,1,19.44,109581085,7599.188,0.699
PHL,Philippines,2/3/2020,2,1,19.44,109581085,7599.188,0.699
PHL,Philippines,2/4/2020,2,1,19.44,109581085,7599.188,0.699
PHL,Philippines,2/5/2020,2,1,19.44,109581085,7599.188,0.699
PHL,Philippines,2/6/2020,3,1,19.44,109581085,7599.188,0.699
PHL,Philippines,2/7/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/8/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/9/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/10/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/11/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/12/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/13/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/14/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/15/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/16/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/17/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/18/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/19/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/20/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/21/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/22/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/23/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/24/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/25/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/26/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/27/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/28/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,2/29/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,3/1/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,3/2/2020,3,1,25,109581085,7599.188,0.699
PHL,Philippines,3/3/2020,,,25,109581085,7599.188,0.699
PHL,Philippines,3/4/2020,,,25,109581085,7599.188,0.699
PHL,Philippines,3/5/2020,,,25,109581085,7599.188,0.699
PHL,Philippines,3/6/2020,,,25,109581085,7599.188,0.699
PHL,Philippines,3/7/2020,5,1,25,109581085,7599.188,0.699
PHL,Philippines,3/8/2020,6,1,25,109581085,7599.188,0.699
PHL,Philippines,3/9/2020,10,1,25,109581085,7599.188,0.699
PHL,Philippines,3/10/2020,33,1,34.26,109581085,7599.188,0.699
PHL,Philippines,3/11/2020,33,1,34.26,109581085,7599.188,0.699
PHL,Philippines,3/12/2020,49,2,34.26,109581085,7599.188,0.699
PHL,Philippines,3/13/2020,52,2,34.26,109581085,7599.188,0.699
PHL,Philippines,3/14/2020,64,6,34.26,109581085,7599.188,0.699
PHL,Philippines,3/15/2020,111,6,75,109581085,7599.188,0.699
PHL,Philippines,3/16/2020,140,12,75,109581085,7599.188,0.699
PHL,Philippines,3/17/2020,142,12,75,109581085,7599.188,0.699
PHL,Philippines,3/18/2020,187,14,97.22,109581085,7599.188,0.699
PHL,Philippines,3/19/2020,202,17,97.22,109581085,7599.188,0.699
PHL,Philippines,3/20/2020,230,18,97.22,109581085,7599.188,0.699
PHL,Philippines,3/21/2020,230,18,97.22,109581085,7599.188,0.699
PHL,Philippines,3/22/2020,380,25,100,109581085,7599.188,0.699
PHL,Philippines,3/23/2020,380,25,100,109581085,7599.188,0.699
PHL,Philippines,3/24/2020,462,33,100,109581085,7599.188,0.699
PHL,Philippines,3/25/2020,552,35,100,109581085,7599.188,0.699
PHL,Philippines,3/26/2020,636,38,100,109581085,7599.188,0.699
PHL,Philippines,3/27/2020,707,45,100,109581085,7599.188,0.699
PHL,Philippines,3/28/2020,803,54,100,109581085,7599.188,0.699
PHL,Philippines,3/29/2020,1075,68,100,109581085,7599.188,0.699
PHL,Philippines,3/30/2020,1418,71,100,109581085,7599.188,0.699
PHL,Philippines,3/31/2020,2084,88,100,109581085,7599.188,0.699
PHL,Philippines,4/1/2020,2084,88,100,109581085,7599.188,0.699
PHL,Philippines,4/2/2020,2311,96,100,109581085,7599.188,0.699
PHL,Philippines,4/3/2020,2633,107,100,109581085,7599.188,0.699
